Date,NVDA close,Biden,Covid (no vax),First Vax,Booster,Ukraine,Pelosi is Speaker,NVIDIA 2000 release,NVIDIA 3000 release,NVIDIA 4000 release,Apple close,Nasdaq close,TSM close,Oil close,Treasury close,Bitcoin Close,NVDA goog Trend,TSMC goog Trend,TSM quarter earnings,NVDA quarter Earnings 
2/15/18,61.003242,0,0,0,0,0,0,0,0,0,41.291702,7256.430176,37.841049,61.34,2.635,10166.40039,37,8,0.651,0.395
2/16/18,60.344952,0,0,0,0,0,0,0,0,0,41.158035,7239.470215,37.806274,61.68,2.626,10233.90039,37,8,0.651,0.395
2/20/18,61.641731,0,0,0,0,0,0,0,0,0,41.019585,7234.310059,38.032345,61.9,2.648,11403.7002,34,6,0.651,0.395
2/21/18,59.76833,0,0,0,0,0,0,0,0,0,40.833408,7218.22998,37.293262,61.68,2.679,10690.40039,34,6,0.651,0.395
2/22/18,59.963951,0,0,0,0,0,0,0,0,0,41.174744,7210.089844,36.858505,62.77,2.652,10005,34,6,0.651,0.395
2/23/18,60.900002,0,0,0,0,0,0,0,0,0,41.890827,7337.390137,38.171467,63.55,2.618,10301.09961,34,6,0.651,0.395
2/26/18,61.060963,0,0,0,0,0,0,0,0,0,42.719101,7421.459961,38.61491,63.91,2.607,10366.7002,36,9,0.651,0.395
2/27/18,60.932194,0,0,0,0,0,0,0,0,0,42.580647,7330.350098,37.927998,63.01,2.669,10725.59961,36,9,0.651,0.395
2/28/18,59.926815,0,0,0,0,0,0,0,0,0,42.516197,7273.009766,37.693233,61.64,2.65,10397.90039,36,9,0.651,0.395
3/1/18,57.502499,0,0,0,0,0,0,0,0,0,41.771484,7180.560059,37.145443,60.99,2.575,10951,36,9,0.651,0.395
3/2/18,58.574741,0,0,0,0,0,0,0,0,0,42.060295,7257.870117,37.397598,61.25,2.623,11086.40039,36,9,0.651,0.395
3/5/18,58.354347,0,0,0,0,0,0,0,0,0,42.205906,7330.709961,37.814968,62.57,2.644,11573.29981,33,7,0.651,0.395
3/6/18,59.966438,0,0,0,0,0,0,0,0,0,42.170101,7372.009766,37.85844,62.6,2.645,10779.90039,33,7,0.651,0.395
3/7/18,59.887184,0,0,0,0,0,0,0,0,0,41.778633,7396.649902,38.43232,61.15,2.649,9965.570313,33,7,0.651,0.395
3/8/18,59.723751,0,0,0,0,0,0,0,0,0,42.23455,7427.950195,38.084518,60.12,2.633,9395.009766,33,7,0.651,0.395
3/9/18,60.751423,0,0,0,0,0,0,0,0,0,42.960178,7560.810059,38.771423,62.04,2.654,9337.549805,33,7,0.651,0.395
3/12/18,61.848419,0,0,0,0,0,0,0,0,0,43.3755,7588.319824,39.319221,61.36,2.635,9205.120117,32,8,0.651,0.395
3/13/18,61.34079,0,0,0,0,0,0,0,0,0,42.957787,7511.009766,39.119236,60.71,2.63,9194.849609,32,8,0.651,0.395
3/14/18,61.595852,0,0,0,0,0,0,0,0,0,42.59259,7496.810059,39.25835,60.96,2.606,8269.80957,32,8,0.651,0.395
3/15/18,61.744427,0,0,0,0,0,0,0,0,0,42.642712,7481.740234,39.397472,61.19,2.622,8300.860352,32,8,0.651,0.395
3/16/18,62.026726,0,0,0,0,0,0,0,0,0,42.492332,7481.990234,39.101837,62.34,2.645,8338.349609,32,8,0.651,0.395
3/19/18,59.679176,0,0,0,0,0,0,0,0,0,41.843094,7344.240234,38.780121,62.06,2.642,8630.650391,33,6,0.651,0.395
